trial_number,value,state,learning_rate,batch_size,num_epochs,weight_decay
0,0.896818246772849,COMPLETE,1.509041041403342e-05,16,3,0.0638792635777333
1,0.8951874183777443,COMPLETE,1.1869701829627777e-05,16,3,0.08795585311974417
2,0.8896218733882543,PRUNED,1.935551577442944e-05,16,3,0.0972918866945795
3,0.8863555117753213,PRUNED,2.4956063227108844e-05,16,3,0.026506405886809047
4,0.8955747731526308,PRUNED,1.3968843144319678e-05,16,3,0.036210622617823776
5,0.885456873340915,PRUNED,1.958520045106074e-05,16,4,0.04297256589643226
6,0.8941175360795147,PRUNED,1.6504435816626575e-05,16,3,0.05628109945722505
7,0.8868210064901549,PRUNED,1.9171389132957902e-05,16,4,0.02534717113185624
